gid,no_cidade,nome_da_nidade,valor,taxa
5756,Ariranha do Ivaí,<i>Ariranha do Ivaí</i>,<b>0</b>,0
6358,Saltinho,<i>Saltinho</i>,<b>0</b>,0
6893,Agricolândia,<i>Agricolândia</i>,<b>1</b>,1
6746,Prata,<i>Prata</i>,<b>1</b>,1
10776,Paulistas,<i>Paulistas</i>,<b>2</b>,2
6476,Grossos,<i>Grossos</i>,<b>1</b>,1
9722,Toropi,<i>Toropi</i>,<b>0</b>,0
8415,Cotia,<i>Cotia</i>,<b>10</b>,10
10010,Solidão,<i>Solidão</i>,<b>1</b>,1
7138,Barbalha,<i>Barbalha</i>,<b>8</b>,8
11034,Uberaba,<i>Uberaba</i>,<b>9</b>,9
9051,Tupirama,<i>Tupirama</i>,<b>1</b>,1
6902,Anísio de Abreu,<i>Anísio de Abreu</i>,<b>1</b>,1
5690,São Caetano de Odivelas,<i>São Caetano de Odivelas</i>,<b>1</b>,1
7775,Anagé,<i>Anagé</i>,<b>4</b>,4
10656,Luisburgo,<i>Luisburgo</i>,<b>0</b>,0
6014,Porto Vitória,<i>Porto Vitória</i>,<b>3</b>,3
6291,Massaranduba,<i>Massaranduba</i>,<b>1</b>,1
10254,Araújos,<i>Araújos</i>,<b>0</b>,0
8790,Santa Cruz do Rio Pardo,<i>Santa Cruz do Rio Pardo</i>,<b>2</b>,2
9319,Boa Vista do Sul,<i>Boa Vista do Sul</i>,<b>0</b>,0
6878,Jordão,<i>Jordão</i>,<b>2</b>,2
5909,Jataizinho,<i>Jataizinho</i>,<b>0</b>,0
7529,Formoso,<i>Formoso</i>,<b>1</b>,1
8500,Igarapava,<i>Igarapava</i>,<b>3</b>,3
10200,Bonfim,<i>Bonfim</i>,<b>1</b>,1
8317,Assis,<i>Assis</i>,<b>4</b>,4
6734,Pedras de Fogo,<i>Pedras de Fogo</i>,<b>3</b>,3
7444,Adelândia,<i>Adelândia</i>,<b>1</b>,1
10643,Lajinha,<i>Lajinha</i>,<b>3</b>,3
6936,Campo Grande do Piauí,<i>Campo Grande do Piauí</i>,<b>1</b>,1
5941,Mariluz,<i>Mariluz</i>,<b>1</b>,1
7553,Iporá,<i>Iporá</i>,<b>0</b>,0
10690,Medina,<i>Medina</i>,<b>2</b>,2
8638,Nova Aliança,<i>Nova Aliança</i>,<b>1</b>,1
8239,Queimados,<i>Queimados</i>,<b>10</b>,10
8534,Itapura,<i>Itapura</i>,<b>1</b>,1
10654,Limeira do Oeste,<i>Limeira do Oeste</i>,<b>0</b>,0
10774,Patrocínio do Muriaé,<i>Patrocínio do Muriaé</i>,<b>0</b>,0
10392,Claraval,<i>Claraval</i>,<b>1</b>,1
6334,Ponte Alta do Norte,<i>Ponte Alta do Norte</i>,<b>1</b>,1
7948,Itamari,<i>Itamari</i>,<b>2</b>,2
6715,Mogeiro,<i>Mogeiro</i>,<b>4</b>,4
10380,Catuji,<i>Catuji</i>,<b>1</b>,1
5833,Douradina,<i>Douradina</i>,<b>1</b>,1
7121,Alcântaras,<i>Alcântaras</i>,<b>0</b>,0
9446,Garibaldi,<i>Garibaldi</i>,<b>1</b>,1
7419,Santo Antônio do Leste,<i>Santo Antônio do Leste</i>,<b>1</b>,1
9911,Floresta,<i>Floresta</i>,<b>6</b>,6
10382,Caxambu,<i>Caxambu</i>,<b>1</b>,1
11112,Mimoso do Sul,<i>Mimoso do Sul</i>,<b>0</b>,0
9930,Ilha de Itamaracá,<i>Ilha de Itamaracá</i>,<b>0</b>,0
10178,Novo Airão,<i>Novo Airão</i>,<b>2</b>,2
10685,Matipó,<i>Matipó</i>,<b>1</b>,1
8884,Tremembé,<i>Tremembé</i>,<b>0</b>,0
6658,Coremas,<i>Coremas</i>,<b>2</b>,2
7409,São José do Rio Claro,<i>São José do Rio Claro</i>,<b>1</b>,1
10852,Rio Doce,<i>Rio Doce</i>,<b>0</b>,0
10026,Venturosa,<i>Venturosa</i>,<b>2</b>,2
9040,São Sebastião do Tocantins,<i>São Sebastião do Tocantins</i>,<b>1</b>,1
5976,Ortigueira,<i>Ortigueira</i>,<b>1</b>,1
8236,Porciúncula,<i>Porciúncula</i>,<b>1</b>,1
6253,Irani,<i>Irani</i>,<b>1</b>,1
7404,Ribeirãozinho,<i>Ribeirãozinho</i>,<b>0</b>,0
8301,Araçariguama,<i>Araçariguama</i>,<b>1</b>,1
9357,Capivari do Sul,<i>Capivari do Sul</i>,<b>2</b>,2
6883,Porto Walter,<i>Porto Walter</i>,<b>5</b>,5
6301,Navegantes,<i>Navegantes</i>,<b>6</b>,6
5738,Altamira do Paraná,<i>Altamira do Paraná</i>,<b>1</b>,1
9143,Igarapé Grande,<i>Igarapé Grande</i>,<b>2</b>,2
7471,Barro Alto,<i>Barro Alto</i>,<b>0</b>,0
10532,Guaraciama,<i>Guaraciama</i>,<b>1</b>,1
8621,Monte Alto,<i>Monte Alto</i>,<b>0</b>,0
6842,Alvorada D'Oeste,<i>Alvorada D'Oeste</i>,<b>2</b>,2
7626,Pires do Rio,<i>Pires do Rio</i>,<b>3</b>,3
9090,Bom Lugar,<i>Bom Lugar</i>,<b>6</b>,6
5881,Inajá,<i>Inajá</i>,<b>0</b>,0
7700,Carmópolis,<i>Carmópolis</i>,<b>2</b>,2
11077,Boa Esperança,<i>Boa Esperança</i>,<b>3</b>,3
8403,Charqueada,<i>Charqueada</i>,<b>1</b>,1
9389,Coronel Bicaco,<i>Coronel Bicaco</i>,<b>3</b>,3
6792,São Sebastião do Umbuzeiro,<i>São Sebastião do Umbuzeiro</i>,<b>2</b>,2
10473,Douradoquara,<i>Douradoquara</i>,<b>0</b>,0
8145,Tanque Novo,<i>Tanque Novo</i>,<b>3</b>,3
10289,Bocaiúva,<i>Bocaiúva</i>,<b>3</b>,3
